scorer,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200
bodyparts,eye,eye,eye,ear,ear,ear,shoulder,shoulder,shoulder,objectA,objectA,objectA
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
53,450.57568,317.81873,0.687604,461.6745,335.86047,0.62311095,497.0974,316.66547,0.8803407,419.96136,292.20755,0.3487872
54,452.8711,312.79883,0.6639988,463.50735,331.62112,0.5545437,499.07303,316.36618,0.90667653,421.33258,288.01505,0.3335599
55,455.33694,305.74997,0.53206325,460.9386,324.82077,0.5151412,499.69077,315.79266,0.90760744,426.41974,274.66388,0.5190004
56,457.24142,301.8184,0.43142954,463.0864,322.19153,0.53157806,502.0629,316.32986,0.9208204,434.17697,269.42612,0.38359624
57,461.4334,294.1297,0.36392376,463.6363,313.1835,0.51451916,507.0081,315.63284,0.8837245,435.09607,260.6809,0.52072996
58,463.96298,292.6295,0.40660155,462.3185,311.28198,0.6212129,508.09808,316.99844,0.9196537,438.17352,254.77603,0.5501304
59,461.82852,287.1803,0.3306513,458.22968,302.9987,0.4446924,506.24872,315.3295,0.8791745,440.20544,250.04263,0.5590915
60,460.03012,276.5544,0.42304006,460.80527,299.0188,0.44520083,506.42853,315.45566,0.86243975,440.55325,240.75046,0.7330116
61,462.65253,275.6947,0.4877136,461.0507,300.22305,0.5168494,507.44034,314.3653,0.83204734,442.1107,236.22716,0.8320695
62,464.75632,268.19598,0.54726434,459.51373,293.2148,0.43595752,507.63617,313.73138,0.79680437,445.96664,229.94127,0.7853917
63,459.3736,263.17862,0.5031232,458.67352,292.7483,0.40038985,509.62454,313.58118,0.7573202,453.18573,228.8127,0.8512951
64,463.216,263.79156,0.4397118,460.11557,293.6936,0.40509015,509.94293,312.9663,0.704317,454.6142,227.66693,0.7974306
65,463.47473,258.26306,0.560364,458.38254,289.95782,0.4751309,509.37827,312.8073,0.7285649,456.93463,224.58368,0.7673899
66,461.31378,258.71307,0.49687245,459.77075,290.95828,0.52327853,512.1381,312.01926,0.70787984,459.51105,222.01842,0.805767
67,459.68033,260.0193,0.45100513,460.73404,291.0036,0.6553992,510.689,312.55002,0.70376325,463.81183,217.93335,0.7643809
68,465.7332,248.10175,0.48035485,461.32236,283.81796,0.5722888,510.34872,312.5657,0.7003052,467.52826,214.76375,0.8569776
69,468.2539,250.26863,0.46548903,465.52335,283.0051,0.48584732,510.61636,311.9085,0.5347931,469.60855,214.22481,0.91037476
70,467.29657,249.84624,0.45529693,466.9569,283.13623,0.53625345,511.1229,311.29138,0.72418684,472.0519,213.43315,0.8256125
71,458.57465,257.54095,0.36641723,466.98785,284.86215,0.47998968,510.10275,311.1859,0.6754149,473.8495,212.33891,0.6409601
72,467.76764,252.09279,0.26881334,468.4006,285.71524,0.44447368,507.31238,310.9502,0.73195034,475.8635,204.75575,0.6403979
73,468.69925,251.45657,0.32430342,474.72415,292.06204,0.42589775,504.37924,311.8576,0.79417825,476.75266,206.83241,0.58051485
74,476.3864,238.79138,0.5646735,474.17307,283.87747,0.41998467,503.30026,311.02408,0.78684205,479.76895,207.0162,0.8090982
75,474.39154,237.52226,0.46829453,473.56674,284.90762,0.49480167,505.3556,309.59467,0.8193878,482.11688,204.78604,0.82105756
76,467.80267,243.32275,0.4955871,468.48636,282.0877,0.4433296,503.7629,309.7587,0.8801035,484.49094,204.65717,0.75017345
77,460.80994,243.05565,0.56287116,467.8164,279.1818,0.50547785,503.1001,312.65744,0.8624964,484.60205,208.11618,0.3877411
78,467.70596,239.26894,0.56974256,465.92023,280.57764,0.50264657,501.7356,312.28937,0.91728675,488.23074,205.19821,0.4169331
79,468.3989,238.3738,0.5389447,464.92914,278.39893,0.5093768,500.25665,310.31302,0.9684751,488.05582,197.3537,0.59552944
80,465.60968,236.3244,0.57346183,467.2073,273.2879,0.40300432,497.2434,309.2542,0.9598081,490.1703,196.74745,0.58756006
81,468.45038,231.74756,0.5391125,466.92426,272.3135,0.41138193,495.5902,306.29468,0.87410367,496.26218,196.43793,0.43576017
82,468.96884,230.53676,0.65329427,461.59128,262.4925,0.43973514,496.64325,305.2104,0.8323529,496.2512,196.15561,0.48889628
83,471.7649,228.02383,0.69285244,464.5925,260.16888,0.42780653,495.39853,301.97995,0.7993339,498.5391,192.68008,0.51690406
84,475.54645,228.63905,0.631807,466.56857,257.13916,0.44973865,496.0229,298.18994,0.7224759,500.81787,191.3048,0.44473734
85,474.36588,226.5931,0.48418355,466.87994,257.83054,0.40737543,498.56052,292.41495,0.6832671,504.4814,190.29277,0.3809932
86,475.27,221.55748,0.4143834,466.6427,258.4881,0.43404394,497.61603,294.56332,0.80521464,504.92746,183.15225,0.5021193
87,477.3507,222.18594,0.46791056,465.329,256.14703,0.48293132,496.97495,290.95532,0.7904547,505.02377,183.03004,0.46669838
88,476.77228,220.64363,0.43467027,465.3863,247.17535,0.46421093,496.38354,287.69193,0.6673369,511.82214,182.93565,0.44451714
89,477.1192,217.69652,0.4153547,467.33194,243.55345,0.45839253,496.33426,284.69073,0.6434226,511.64325,181.14027,0.48901904
90,483.35806,213.2815,0.46948063,466.73727,244.58583,0.6352772,496.59,281.93335,0.6651256,513.09076,180.23189,0.5681051
91,483.2807,212.74957,0.41619453,466.6702,241.37062,0.6576666,497.9559,285.50534,0.80178154,513.5403,180.09265,0.5713596
92,483.3173,212.1955,0.546173,466.1161,238.76416,0.6897751,499.6019,279.87183,0.77923995,512.5596,181.18889,0.4924859
93,488.53146,212.72624,0.4904791,466.64984,239.242,0.7301822,496.50833,282.28864,0.86108387,512.7907,180.32277,0.4399939
94,483.8862,210.3355,0.4658481,466.88605,233.4898,0.73014563,494.55368,279.80075,0.9100257,513.044,180.54672,0.39926463
95,488.34198,212.06421,0.4410258,464.4851,234.18,0.71082985,492.60196,278.4422,0.9483911,516.2496,175.91019,0.37582138
96,488.58633,213.02127,0.573371,462.964,230.64645,0.80128115,491.8926,277.03867,0.9417741,520.8864,173.98534,0.32242468
97,487.0157,210.41608,0.51305026,462.4009,226.33487,0.86963624,490.66364,273.64853,0.95007986,520.79565,173.73946,0.2997013
98,486.56207,211.40865,0.5135275,461.9722,226.73819,0.8699365,490.96613,270.31378,0.9160884,477.41595,189.03618,0.23221187
99,490.60474,208.60332,0.69826627,463.60165,218.45197,0.7609482,491.08154,268.59012,0.95601493,477.3307,181.04785,0.3581715
100,490.42737,209.67711,0.66298413,463.8178,215.9596,0.77534443,489.82263,265.83453,0.91667753,528.4767,167.02657,0.41194063
101,490.41882,208.37732,0.60907656,467.63663,213.79817,0.69287795,489.4259,264.3622,0.9017972,528.3225,165.8017,0.40672496
102,489.13217,203.3537,0.47124323,466.84085,210.4532,0.8339546,490.0802,263.9853,0.9152318,528.2584,166.1383,0.36308736
103,488.29422,199.83607,0.4173982,467.62903,207.7904,0.74070287,489.2276,261.3017,0.9692731,528.8988,165.32555,0.3527317
104,486.67062,195.21155,0.4317689,465.99728,200.93507,0.6550522,489.26147,258.9013,0.98270273,530.0419,165.15854,0.27842766
105,496.04913,197.98544,0.47782847,468.5904,199.91423,0.60759294,489.54745,256.74783,0.99406284,529.76385,165.68953,0.26940235
106,497.102,196.42905,0.6243628,472.8596,200.3896,0.58953625,490.9426,253.70348,0.9732807,529.0262,166.25005,0.31328413
107,497.7945,193.50568,0.61742216,473.23907,200.48398,0.59504414,491.06342,252.05128,0.95922494,529.9271,159.62796,0.3414594
108,499.2839,195.0024,0.60333866,477.98102,195.20969,0.6017762,491.86273,249.33609,0.93796843,530.4604,159.8635,0.5438732
109,498.7276,193.50522,0.39767054,482.07114,192.94379,0.5135761,491.8494,248.55591,0.9891032,530.6821,159.43076,0.62247294
110,497.39377,189.74399,0.5150551,484.055,188.69054,0.5552521,491.50064,248.16608,1.0,530.29803,159.5223,0.31569874
111,505.44012,191.3297,0.63683754,483.12836,186.52736,0.595307,490.99524,247.04402,1.0,529.48425,160.45671,0.3802025
112,502.935,188.52975,0.7320459,482.70114,184.43181,0.58705753,491.55624,244.04454,0.9471057,529.63983,160.39587,0.35814744
113,503.4221,187.52827,0.7038537,483.70273,183.03667,0.5441413,491.45584,241.82318,0.9511143,529.87946,159.479,0.4024578
114,503.4159,188.58185,0.69675314,483.55206,182.05342,0.5459207,492.5086,238.34009,0.9157358,531.0819,152.57193,0.5235768
