scorer,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200
bodyparts,eye,eye,eye,ear,ear,ear,shoulder,shoulder,shoulder,objectA,objectA,objectA
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
107,466.6064,225.05707,0.8071573,450.63284,247.0463,0.62511045,480.46735,266.31735,0.6358474,472.65973,198.00453,0.59046435
108,466.06842,224.1015,0.7693185,450.7037,250.85873,0.61491066,480.52945,263.7163,0.5281354,470.98486,193.85513,0.5763819
109,465.5948,221.5262,0.7718236,452.35992,246.24483,0.5729275,479.94763,263.07556,0.67500347,473.40924,192.0509,0.6854812
110,464.8568,216.8674,0.8280712,452.49966,241.0608,0.5642863,481.4198,261.85422,0.6698563,470.99197,190.17097,0.8211373
111,467.8453,216.6139,0.8472311,455.65674,237.88614,0.5573539,478.92096,262.69705,0.7070197,475.20984,187.72356,0.8621219
112,468.15482,215.32382,0.8972305,456.45175,239.11176,0.5196129,481.1997,260.8143,0.591899,472.04715,184.58444,0.8010376
113,468.44287,212.22746,0.83805025,460.1829,238.92426,0.6083893,481.57224,256.99472,0.4449165,474.5777,183.48067,0.7707252
114,468.6388,208.2478,0.7947234,462.623,236.9419,0.52483726,477.34448,253.70605,0.46164575,474.06558,182.96796,0.77667755
115,468.6949,208.56721,0.68028706,465.848,240.21251,0.6005773,482.64136,252.89851,0.4134218,474.7217,180.98921,0.7339188
116,469.11795,204.8733,0.7211998,461.92874,228.35535,0.3965969,485.89532,252.2972,0.552627,472.39963,176.70718,0.67629313
117,468.199,202.7386,0.7700706,464.55234,227.17384,0.45003203,488.61823,248.41693,0.38382593,470.88983,178.14474,0.6743891
118,465.57788,203.81094,0.66191137,459.57437,239.87518,0.6551534,493.4883,249.40694,0.21047162,472.5071,175.25534,0.6590665
119,466.41476,202.48819,0.62824863,454.64832,240.73178,0.58167577,491.08844,247.48149,0.43099198,473.5495,174.49814,0.72072804
120,468.1382,199.63754,0.6127505,453.46368,230.92722,0.5962951,488.861,247.89758,0.45314804,473.42007,172.55453,0.74631697
121,468.3027,197.25534,0.5140959,455.79764,229.9205,0.6113943,491.62726,246.41805,0.54028666,471.32166,171.88907,0.56611305
122,470.37634,193.428,0.5649646,455.64462,231.75099,0.5527292,492.09247,244.99232,0.603009,472.1155,168.96364,0.5733496
123,471.4725,195.21606,0.55211097,454.29327,228.50151,0.67394114,492.30902,243.4243,0.722787,471.17245,167.39758,0.64497906
124,471.1892,193.60054,0.6617843,452.09482,225.36356,0.61480504,492.06158,241.20865,0.7066242,471.527,166.25905,0.6922966
125,470.9498,191.91084,0.70078295,452.522,225.30058,0.56654644,491.01117,239.71294,0.7276675,472.92142,164.74347,0.6430652
126,470.52005,191.0254,0.6264776,454.96332,213.39001,0.35774717,491.73315,236.03407,0.6826263,472.38123,160.42316,0.5296331
127,468.94064,190.73573,0.5724614,463.9803,213.82668,0.26979175,490.52026,235.63487,0.7764803,471.6156,158.8377,0.3946931
128,472.14563,190.43958,0.46445218,468.74457,199.57582,0.27907607,490.878,232.22705,0.78311014,475.45328,157.8302,0.5075944
129,472.5354,181.30281,0.42856488,464.55984,208.03398,0.306747,491.68665,231.47768,0.88092685,474.30194,160.27374,0.58894056
130,476.25015,181.25389,0.4645724,469.61084,198.98479,0.3053257,493.41632,230.99414,0.9128962,475.17603,156.90129,0.6440981
131,474.12787,180.28722,0.55387574,470.98425,199.32413,0.35733664,492.6359,227.10187,0.8421516,475.3112,155.64075,0.6161789
132,478.2944,188.68974,0.35181284,463.26044,211.46417,0.28382692,491.62045,225.3116,0.7939648,474.90097,150.25677,0.3455383
133,473.67123,188.77951,0.45075274,462.56924,210.87529,0.5146645,493.56082,225.05028,0.76074547,474.76895,151.0993,0.30710998
134,471.18915,181.66739,0.40401927,459.4799,211.4135,0.532804,495.8449,222.69983,0.58444405,474.74094,149.32283,0.3527858
135,472.6076,188.5279,0.48079666,458.7492,208.84085,0.61318815,495.91016,224.82048,0.6208035,475.40222,149.45273,0.2442226
136,477.38846,187.94441,0.42285383,460.94595,204.37123,0.5800696,497.81644,220.49571,0.614253,475.47528,150.77824,0.17730021
137,479.10336,189.1724,0.4139763,461.2769,210.78778,0.62132674,499.77377,219.3466,0.57368076,469.23407,165.18651,0.18288584
138,480.5838,193.50089,0.41310287,460.6509,210.89767,0.69498676,498.83795,215.69666,0.62058645,483.4768,173.60057,0.17062524
139,480.97385,190.45804,0.39986658,460.4951,203.91907,0.68364555,497.73712,216.0852,0.5655618,497.1962,179.20424,0.14077598
140,481.5443,188.33455,0.41863826,461.87357,201.98904,0.5806734,495.5449,207.93158,0.59368265,507.94254,180.00296,0.15653065
141,480.31018,183.45813,0.50161207,464.9518,198.77933,0.6600705,496.81436,208.36304,0.5631759,486.8437,165.01839,0.19219798
142,480.85617,187.80244,0.39854544,463.8009,198.46469,0.5482554,499.2324,208.01881,0.6191319,483.47083,166.39471,0.15245101
143,481.1907,181.06743,0.29285073,469.54367,196.68382,0.431028,499.06708,207.15092,0.5796345,427.71515,37.26659,0.15420474
144,482.3641,175.07524,0.38987377,470.6208,193.94745,0.41806132,497.51758,200.98218,0.5600401,498.7363,174.37683,0.17245428
145,486.16162,175.35576,0.5177156,465.42215,189.60272,0.49746054,497.7433,202.39075,0.6297718,484.10724,162.07784,0.23349829
146,484.98343,175.92845,0.6207128,467.5755,192.40234,0.62761784,497.9171,203.4627,0.59865147,480.76575,157.16003,0.26964274
147,482.5879,175.31303,0.6439833,466.31662,191.85426,0.5626311,497.83823,201.72417,0.7056104,470.41193,155.19756,0.37254676
148,483.51837,175.56761,0.70897716,470.49002,191.68907,0.508089,497.93585,202.3754,0.6804427,470.72842,151.4906,0.49241152
149,483.501,174.13158,0.6836801,467.295,187.86877,0.6799407,497.80817,205.10506,0.5211964,478.58157,148.7385,0.49585357
150,483.566,171.43712,0.66701055,466.18445,183.0496,0.7364576,499.42154,200.01505,0.5422572,477.05093,145.63435,0.63521963
151,481.80188,165.78958,0.6677046,468.5144,179.54085,0.7221248,500.69864,198.93544,0.6947615,477.63165,143.81255,0.73852557
152,482.22714,164.00337,0.6459292,469.2777,176.31522,0.6894257,500.7287,198.03749,0.6810792,476.9931,139.97029,0.77940965
153,485.9124,164.00475,0.5632666,469.11276,178.79524,0.6607849,500.70236,195.02945,0.604374,476.30627,138.29976,0.75625426
154,485.51752,161.85413,0.540703,469.4565,176.17085,0.6270733,500.33817,192.50139,0.4112918,471.52057,138.724,0.81313723
155,481.22342,159.90198,0.5960456,470.6341,175.09334,0.5503062,502.27292,188.90205,0.3735268,470.75342,136.91759,0.8329148
156,485.77145,159.97797,0.60871077,468.94296,174.37057,0.5934594,504.38962,191.80293,0.56677026,471.2915,134.89519,0.8290178
157,486.34906,159.44366,0.56004184,467.4128,173.7712,0.56749904,509.6647,189.31534,0.47134355,470.35474,134.33356,0.82963866
158,486.3921,158.11763,0.52367264,465.36038,173.93532,0.64707726,512.9315,189.27057,0.48462483,469.791,133.66893,0.782006
159,482.07935,159.52037,0.60281676,466.88718,175.56816,0.6994948,512.6793,190.23436,0.5440087,470.59705,133.36905,0.73246163
160,481.99338,156.52806,0.60465485,465.9413,173.57204,0.6436039,513.7692,187.42209,0.49025732,471.16388,131.87674,0.7756095
161,482.98093,154.79182,0.6236516,465.61087,171.40225,0.6929695,514.59625,186.3257,0.43810534,471.5959,130.4932,0.7756756
162,487.28784,155.04538,0.611388,466.74017,171.58417,0.7565024,514.60754,185.7159,0.44160748,475.53574,129.50302,0.7718799
163,487.03287,153.75107,0.6166566,467.00146,170.05559,0.7975478,513.0305,184.28401,0.48361218,471.87146,128.30704,0.79123133
164,480.0655,150.16891,0.60426635,467.06497,168.08763,0.7764499,514.74426,184.71423,0.36187875,471.87393,127.208244,0.7844365
165,479.94556,149.21117,0.65002596,467.5184,167.13725,0.77163047,514.918,180.5176,0.36634797,475.0695,126.3527,0.8403028
166,481.49216,147.63712,0.61401516,468.87372,165.80727,0.71731114,515.1413,180.2374,0.3169998,475.03265,124.98555,0.83612496
167,481.32574,147.13994,0.65687764,467.41263,166.9864,0.76858413,515.535,180.52417,0.3061442,475.30444,125.35355,0.853966
168,481.95587,147.91579,0.6266199,467.15158,167.15627,0.8092069,515.6207,180.00763,0.35862598,473.94397,124.74522,0.8188728
169,483.26758,146.70015,0.6096991,467.8872,166.02084,0.85432094,515.9537,178.85538,0.4147288,471.67773,122.95616,0.8168512
170,484.218,145.07037,0.5085421,469.95972,162.63403,0.8391145,517.0445,178.25708,0.43633676,471.18304,120.72014,0.8196196
171,487.9119,144.25566,0.50351065,470.89774,161.57454,0.82666403,518.565,178.45268,0.4535104,471.39917,119.88542,0.8136315
172,497.30515,143.28796,0.50639874,471.84167,160.24193,0.7952802,520.30096,174.63252,0.61316323,471.53796,118.8842,0.8049666
173,497.66275,144.12152,0.5375452,470.85437,159.20628,0.81633985,520.8529,172.88036,0.5942798,474.31442,117.87052,0.80729795
174,499.227,144.78943,0.5822565,470.79446,158.46048,0.82972074,520.3117,171.59415,0.5538101,476.49142,118.695335,0.8256969
175,499.4423,146.22096,0.6161648,471.26135,159.21109,0.7946759,521.1599,171.19955,0.541876,477.55075,117.89923,0.8383659
176,501.54977,145.73724,0.59055513,472.5809,159.00227,0.7657384,525.48816,169.83069,0.5403212,478.57288,116.92885,0.82545865
177,504.80667,147.27502,0.5668022,475.22354,160.56429,0.6882327,526.8906,170.13052,0.5167476,479.58853,116.12661,0.7928533
178,506.17526,146.30531,0.59943795,475.3612,157.04298,0.68336457,526.87836,169.90689,0.50180084,479.47635,114.88344,0.79572076
179,506.8319,146.04776,0.6377282,479.78476,160.70345,0.6323635,527.5218,169.97318,0.4613665,479.71722,113.24982,0.78755474
180,506.74326,144.33833,0.6159116,477.10165,155.27122,0.6254592,526.3258,169.48946,0.42081994,479.1554,112.21056,0.8149413
181,505.79984,143.24362,0.58655876,477.1937,154.09341,0.62003773,526.1349,164.58594,0.41718265,479.12335,110.91791,0.8123635
182,503.3731,141.63951,0.6171752,476.84796,153.33435,0.6607576,526.1446,164.00516,0.4763284,480.1887,110.37264,0.81456137
183,503.622,139.86502,0.62422645,476.4639,152.85365,0.6920457,526.5218,163.37213,0.5853082,480.50623,109.70782,0.8470256
184,503.07193,139.30157,0.63562185,477.0216,152.93713,0.64627737,531.26904,162.80649,0.51642984,480.19907,108.77602,0.8486608
185,502.93442,138.55093,0.65499485,477.27747,152.778,0.6612862,531.4929,161.8191,0.56524765,480.24338,107.73385,0.876116
186,503.0342,137.37479,0.63978404,477.68298,152.93018,0.6761459,531.90826,161.98978,0.593,480.1141,106.83904,0.8993762
187,502.88782,135.24626,0.6364991,479.11777,152.97096,0.6816325,533.0156,161.81476,0.5703032,480.5614,106.28637,0.8820424
188,503.09888,134.10646,0.57397085,482.5702,151.01208,0.6476511,533.8112,159.25082,0.58778137,480.8012,105.70858,0.8773813
